OBJECTID,ROAD_NAME,STATUS,PROJ_NAME,TYPE,TOWN,Shape__Length
767,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,NEWPORT,415.39949754905
768,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,MIDDLETOWN,287.268896061292
769,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,MIDDLETOWN,200.625431388062
770,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES, ,91.5714793310472
771,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,MIDDLETOWN,201.079327864904
772,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,NEWPORT,162.772744351106
773,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,MIDDLETOWN,137.61655005544
774,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,MIDDLETOWN,722.221958399247
775,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,MIDDLETOWN,76.250542901303
776,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,MIDDLETOWN,213.868659069029
777,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,MIDDLETOWN,207.239470243411
778,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,MIDDLETOWN,198.131900608207
779,CODDINGTON HWY,COMPLETED,CODDINGTON HWY “ROAD DIET” BIKE LANES,BIKE LANES,MIDDLETOWN,206.382675738782
780,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,61.3025671753753
781,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,176.548740502998
782,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,110.203391656501
783,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,210.796926881672
784,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,514.530673119061
785,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,184.4978889255
786,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,142.491937461251
787,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,919.945658616126
788,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,311.078189010148
789,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,189.768960320318
790,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,145.102388439835
791,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,163.382291459562
792,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,179.363922589129
793,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,853.642377042514
794,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,416.380794947513
795,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,177.331597140091
796,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,145.30753176171
797,AMERICAS CUP AVE,COMPLETED,AMERICAS CUP AVENUE BIKE LANES,BIKE LANES,NEWPORT,99.9997213774976
