OBJECTID,F_Name,F_Type,Street,Town,OwnerTyp,P_Ground,B_Field,S_Field,F_Field,M_Field,B_Court,T_Court,V_Court,Track,SkatPark,IH_Rink,SH_Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,RestRoom,W_Path,B_Path,SplashPark,PickBall,Shelter,CommGard,Stage,Dog,TabGame,Camping,Fitness,GrantFund,POINT_X,POINT_Y,DEMID,StateBond,LWCF,GlobalID,RIEJ,Justice40,x,y
267,Trinity Mews,LP,Fountain,Providence,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.41643669,41.82256082,Not Applicable,N,N,{B6B9BC2D-A316-407E-AAAA-42B1358FAB3A},Y,Y,350860.32630625,269367.718014255
268,Gallagher Junior High School,SC,Indian Run,Smithfield,SCH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.54341011,41.88348055,Not Applicable,N,N,{3F218D6D-0E05-4B56-BB47-42D077980670},N,N,316262.187825501,291558.861952089
269,India Point Park,LP,India,Providence,MUN,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.39236738,41.81784486,"4400160,20032001,887063,897044,958016",Y,Y,{4A3F50E3-DFFD-499E-A32E-4334C774BDF6},Y,N,357423.091724001,267656.523930088
270,Hutchinson School,SC,Brownell,Portsmouth,SCH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.25832691,41.61851313,Not Applicable,N,N,{5CD50556-4EC9-4496-BA25-43D71EEC9B3B},N,N,394165.309249919,195095.685456254
271,Warwick National Little League / Bend Street Field,LP,Bend,Warwick,MUN,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.38352836,41.71156669,"4400226,987045",Y,Y,{5CB65F1F-6D30-434D-91C3-43E8E36F9FDA},N,N,359884.971314669,228932.352034755
272,St. Mary's Pond,FB,Union,Portsmouth,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.27626431,41.55856619,Not Applicable,N,N,{60675DA8-D5CF-4684-BB07-43EA141ECBDE},N,N,389317.205429085,173238.699314669
273,Herbert F. Paine Memorial Park,AF,Main,Coventry,MUN,1,4,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,Y,-71.56969147,41.69276337,"4400217,2018-40-04,20034008,2006-40-19",Y,Y,{EF78280D-39B2-43B4-8935-444A9D69F0EF},N,N,309049.099233333,222066.772590086
274,Stump Pond,FB,Log,Smithfield,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.54636063,41.90090185,5116,?,N,{89FE5227-F6F8-4C81-8AF6-44643404764C},N,N,315462.153336335,297907.668808252
275,Jennifer Rivera Memorial Park,LP,Niagara,Providence,MUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.42066992,41.80260924,Not Applicable,N,N,{07767258-661E-4176-9572-449F6B813FF3},Y,Y,349713.17702575,262096.294236921
276,Snake Den State Park,CA,Hartford,Johnston,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.5320006,41.84130031,7007,?,N,{AE325092-4F1B-4F15-9C48-45368C318261},N,N,319363.419483919,276186.938299671
277,Lehigh Hill Grove,SP,Main,Portsmouth,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.26029934,41.61138656,7092,?,N,{7ECBD6F8-959A-4CE4-969F-45A3072E8FAE},N,N,393633.191547751,192497.353382587
278,Civic Center Playground & Orchard,LP,Factory,West Warwick,MUN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.51525482,41.70628032,2016-40-15,Y,N,{889691CD-E34A-498E-9916-45EF29C201B3},Y,N,323917.786687501,226984.904486082
279,John St Playground / Pleasant View Field,LP,Roosevelt,Pawtucket,MUN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.36541255,41.893902,2011-70-08,Y,N,{C3818AF0-46C9-43F3-9D06-46EC77E576C3},Y,N,364727.313007917,295382.22504025
280,Upper Flat River,FB,Plain,Exeter,STA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.72031105,41.595625,6115,?,N,{92670E70-A25C-45B7-A57D-4762128E2A58},N,N,267821.204655167,186739.929858088
281,Fort Adams State Park,SP,Fort Adams,Newport,STA,0,0,3,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,N,-71.33828531,41.47532818,7010,?,N,{325EBA36-E855-45B1-88AC-476945330B12},N,N,372399.510918085,142870.551061586
282,Franciscan Park,LP,Ridge,Providence,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.43686234,41.81907486,Not Applicable,N,N,{BE66CC53-25D3-48F4-BF84-477FEC53E5FC},Y,Y,345293.803646669,268092.68644359
283,Town Dock,FB,Water,Warren,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-71.28567973,41.72629215,Not Applicable,N,N,{FD9B6C8A-07A3-4A8C-BFA0-47AB8E8357A5},Y,Y,386588.401175417,234349.52427125
284,Abruzzi Sports Complex,AF,Maple,Newport,MUN,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.31473529,41.51602909,"20017042, 2020-40-06",Y,N,{E48C727B-301F-49A5-9278-47CA23D0B727},Y,Y,378821.373730499,157714.039419167
285,Bold Point Park,LP,Pier,East Providence,MUN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,-71.39097296,41.815222,"4400319,897016",Y,Y,{54239326-5B72-4AD4-ACBA-47DBEDE70961},Y,Y,357804.412155584,266701.237782918
