OBJECTID,TOWN,ZIP_CODE,CTRACT2000,CBLKGROUP,TRCTBLKGRP,FOREC_RATE,SUBLN_RATE,Acres,Shp_Length,Shape__Area,Shape__Length
221,Providence,02909,19,4,19.004,13,7.031425,18.79658922,4265.16538242,818779.467018127,4265.16538241594
222,Providence,02909,19,5,19.005,13,7.031425,32.88762653,5318.195121,1432585.08280945,5318.19512099826
223,Providence,02909,20,1,20.001,10,7.031425,112.17724025,9797.11171437,4886440.82804108,9797.11171436556
224,Providence,02909,20,4,20.004,10,7.031425,64.51988907,10581.5523577,2810486.50743103,10581.5523576809
225,Providence,02909,21,6,21.006,10,7.031425,30.99245333,5155.9404518,1350031.33434296,5155.9404518028
226,Cranston,02910,137.01,1,137.011,8,3.090244,85.8810452,8030.39347021,3740978.51461792,8030.39347020624
227,Cranston,02910,137.01,2,137.012,8,3.090244,107.22338011,9812.53794939,4670650.66960907,9812.53794939036
228,Cranston,02910,137.01,3,137.013,8,3.090244,78.60086245,7936.38956404,3423853.73830414,7936.38956404403
229,Cranston,02910,137.01,4,137.014,8,3.090244,77.27589683,7794.19393479,3366138.23298645,7794.19393478962
230,Cranston,02910,137.02,1,137.021,7,3.090244,53.09102014,6832.4935222,2312644.95238495,6832.49352220099
231,Cranston,02910,137.02,2,137.022,7,3.090244,87.93931331,14445.8823826,3830636.67772675,14445.8823826018
232,Cranston,02910,137.02,3,137.023,7,3.090244,57.35206677,7561.64935619,2498256.15258026,7561.64935618644
233,Cranston,02910,140,1,140.001,7,3.090244,98.17827077,8601.18867572,4276645.68720245,8601.18867572143
234,Cranston,02910,140,2,140.002,7,3.090244,108.9411867,9434.26383783,4745478.32808685,9434.26383783104
235,Cranston,02910,140,3,140.003,7,3.090244,135.85915732,11591.0646563,5918025.18655396,11591.0646563459
236,Cranston,02910,140,4,140.004,7,3.090244,72.69384086,8151.70792802,3166543.86524963,8151.70792802442
237,North Providence,02911,121.02,1,121.021,7,1.97059,97.30815291,9322.8261568,4238743.35109711,9322.82615680212
238,North Providence,02911,121.02,3,121.023,7,1.97059,63.57977918,6997.11490751,2769535.31871033,6997.11490750766
239,East Providence,02914,102,1,102.001,7,1.963126,124.29230232,10505.9121714,5414172.95770264,10505.9121713915
240,East Providence,02914,102,2,102.002,7,1.963126,43.8998221,7004.46303338,1912276.34588623,7004.46303338158
241,East Providence,02914,102,3,102.003,7,1.963126,72.57327954,8212.73289623,3161292.21365356,8212.73289622928
242,East Providence,02914,102,4,102.004,7,1.963126,70.37432602,8697.12013938,3065505.79389191,8697.12013938489
243,East Providence,02914,102,5,102.005,7,1.963126,80.08581252,9991.19174607,3488538.16680145,9991.19174607441
244,East Providence,02914,102,6,102.006,7,1.963126,45.63346415,5881.03753392,1987793.79724121,5881.03753392232
245,East Providence,02914,102,7,102.007,7,1.963126,125.82163147,14023.8413637,5480790.53897858,14023.841363691
246,East Providence,02914,103,1,103.001,7,1.963126,157.32677132,21568.5237334,6853154.49865723,21568.523733372
247,East Providence,02914,103,3,103.003,7,1.963126,201.03501295,19729.9447024,8757085.59883118,19729.9447024356
248,East Providence,02915,106,1,106.001,7,1.492872,127.58137916,11125.0653928,5557445.1519928,11125.0653928265
249,East Providence,02915,106,2,106.002,7,1.492872,62.67013326,11096.1271957,2729911.14059448,11096.1271956728
250,East Providence,02915,106,4,106.004,7,1.492872,66.86382763,14042.3815872,2912588.47605133,14042.3815871938
251,East Providence,02915,106,5,106.005,7,1.492872,50.72786134,9534.78520399,2209705.74958801,9534.78520398521
