OBJECTID,Land Use Type,Acres,Shape__Area,Shape__Length
10280,Non-urban Developed,1.86330897,81165.7431373596,1195.83793226655
10281,Non-urban Developed,5.99900945,261316.864902496,2053.5954733643
10282,Non-urban Developed,0.6131776,26710.0179443359,769.310460664504
10283,Non-urban Developed,2.7128926,118173.607772827,1886.08898676501
10284,Non-urban Developed,7.59572004,330869.581611633,2926.34615363384
10285,Non-urban Developed,2.74247433,119462.187892914,1347.58480008378
10286,Non-urban Developed,7.88893561,343642.05255127,3330.74742705813
10287,Non-urban Developed,3.65953921,159409.536270142,1588.90919037795
10288,Non-urban Developed,9.8318048,428273.438457489,3735.49364111181
10289,Non-urban Developed,0.96690402,42118.3414039612,850.496866547044
10290,Non-urban Developed,0.93957136,40927.7306289673,787.375345860205
10291,Non-urban Developed,5.23371253,227980.529247284,2868.68039743754
10292,Non-urban Developed,4.14976483,180763.764961243,2061.20551095377
10293,Non-urban Developed,4.8059823,209348.599731445,2647.34549678663
10294,Non-urban Developed,7.15147054,311518.072425842,2216.80194609999
10295,Non-urban Developed,0.81132516,35341.3257446289,1016.5265666582
10296,Non-urban Developed,0.64207906,27968.9653091431,971.316306488903
10297,Non-urban Developed,2.89980652,126315.578651428,1606.50408963417
10298,Non-urban Developed,1.82201385,79366.9274177551,1196.15777104918
10299,Non-urban Developed,11.90260933,518477.688480377,3981.68000607614
10300,Non-urban Developed,2.4141512,105160.431816101,1680.26636688868
10301,Non-urban Developed,11.58108464,504472.072349548,4698.55133030679
10302,Non-urban Developed,0.77591823,33798.999786377,752.690950340753
10303,Non-urban Developed,2.86921502,124983.012607574,1745.79035584102
10304,Non-urban Developed,0.59832705,26063.1278610229,1022.40347938132
10305,Non-urban Developed,0.5957082,25949.050567627,704.354741802243
10306,Non-urban Developed,69.00214356,3005733.52279663,14390.9760684609
10307,Non-urban Developed,6.90827465,300924.458961487,2950.82710153851
10308,Non-urban Developed,6.53511104,284669.451236725,2766.14854231037
10309,Non-urban Developed,1.01558169,44238.7408981323,1419.46620823902
10310,Non-urban Developed,11.85019331,516194.446525574,4784.34593523955
10311,Non-urban Developed,1.02001453,44431.8352775574,1011.24429968708
10312,Non-urban Developed,1.64050744,71460.5076408386,1046.97116239763
10313,Non-urban Developed,1.31463969,57265.7080688477,1031.24288212753
10314,Non-urban Developed,1.70144302,74114.8619613647,1084.15321248844
10315,Non-urban Developed,33.64215043,1465452.14554214,9088.87396602979
10316,Non-urban Developed,0.94009528,40950.5525283813,1114.53227015891
10317,Non-urban Developed,5.67254546,247096.092773438,2270.84110557101
10318,Non-urban Developed,1.82806092,79630.3376846313,1897.73443922416
10319,Non-urban Developed,18.3410035,798934.152526855,6918.46928354408
10320,Non-urban Developed,0.57124591,24883.473285675,705.45806113965
10321,Non-urban Developed,1.28576786,56008.0510635376,927.398335033613
10322,Non-urban Developed,4.62541233,201482.971382141,2697.70723223373
10323,Non-urban Developed,2.98106202,129855.068073273,1798.95264024699
10324,Non-urban Developed,5.12518372,223253.014083862,2119.93459770239
